producto_id;sac
1;0101210000
2;0101290000
3;0101300000
4;0101900000
5;0102210000
6;0102290000
7;0102390000
8;0102901000
9;0102909000
10;0103100000
11;0103910000
12;0103920000
13;0104101000
14;0104109000
15;0104201000
16;0104209000
17;0105110000
18;0105120000
19;0105130000
20;0105940000
21;0105990000
22;0106110000
23;0106120000
24;0106190000
25;0106200000
26;0106310000
27;0106320000
28;0106330000
29;0106390000
30;0106410000
31;0106490000
32;0106900000
33;0201100000
34;0201200000
35;0201300000
36;0202100000
37;0202200000
38;0202300000
39;0203110000
40;0203120000
41;0203190000
42;0203210000
43;0203220000
44;0203290000
45;0204100000
46;0204210000
47;0204220000
48;0204230000
49;0204300000
50;0204410000
51;0204420000
52;0204430000
53;0204500000
54;0205000000
55;0206100000
56;0206210000
57;0206220000
58;0206290000
59;0206301000
60;0206309000
61;0206410000
62;0206491000
63;0206499000
64;0206800000
65;0206900000
66;0207110000
67;0207120000
68;0207131000
69;0207139100
70;0207139200
71;0207139300
72;0207139400
73;0207139900
74;0207141000
75;0207149100
76;0207149200
77;0207149300
78;0207149400
79;0207149900
80;0207240000
81;0207250000
82;0207261000
83;0207269000
84;0207271000
85;0207279000
86;0207410000
87;0207420000
88;0207430000
89;0207441000
90;0207449000
91;0207459000
92;0207530000
93;0207549000
94;0208100000
95;0208500000
96;0208901000
97;0208909000
98;0209101000
99;0209102000
100;0209900000
101;0210110000
102;0210120000
103;0210190000
104;0210200000
105;0210929000
106;0210991000
107;0210992000
108;0210993000
109;0210999000
110;0301110000
111;0301190000
112;0301911000
113;0301919000
114;0301929000
115;0301939000
116;0301991000
117;0301999100
118;0301999900
119;0302110000
120;0302130000
121;0302140000
122;0302190000
123;0302210000
124;0302220000
125;0302230000
126;0302240000
127;0302290000
128;0302310000
129;0302320000
130;0302330000
131;0302340000
132;0302350000
133;0302390000
134;0302410000
135;0302430000
136;0302440000
137;0302470000
138;0302510000
139;0302590000
140;0302710000
141;0302740000
142;0302790000
143;0302810000
144;0302840000
145;0302891000
146;0302892000
147;0302893000
148;0302894000
149;0302895000
150;0302896000
151;0302897000
152;0302899000
153;0302910000
154;0302999000
155;0303110000
156;0303120000
157;0303130000
158;0303140000
159;0303190000
160;0303230000
161;0303260000
162;0303290000
163;0303330000
164;0303340000
165;0303390000
166;0303410000
167;0303420000
168;0303430000
169;0303440000
170;0303450000
171;0303490000
172;0303510000
173;0303530000
174;0303540000
175;0303570000
176;0303590000
177;0303630000
178;0303660000
179;0303810000
180;0303830000
181;0303840000
182;0303890000
183;0303910000
184;0304310000
185;0304390000
186;0304410000
187;0304460000
188;0304490000
189;0304510000
190;0304590000
191;0304610000
192;0304620000
193;0304690000
194;0304710000
195;0304740000
196;0304750000
197;0304790000
198;0304810000
199;0304820000
200;0304870000
201;0304891000
202;0304892000
203;0304893000
204;0304894000
205;0304895000
206;0304896000
207;0304897000
208;0304899000
209;0304910000
210;0304920000
211;0304930000
212;0304960000
213;0304990000
214;0305200000
215;0305310000
216;0305320000
217;0305390000
218;0305410000
219;0305420000
220;0305430000
221;0305490000
222;0305510000
223;0305520000
224;0305540000
225;0305590000
226;0305610000
227;0305620000
228;0305630000
229;0305690000
230;0305710000
231;0305720000
232;0305790000
233;0306111100
234;0306111200
235;0306111300
236;0306111400
237;0306112900
